0,1,2
Aviation Management,48400,95200
Biochemistry (BCH),47500,95100
Computer Science (CS) & Business,60800,95000
Construction Science & Management,61500,95000
Accounting & Finance,55800,94900
Comparative Literature,44600,94900
International & Comparative Politics,46100,94900
East Asian Studies,46900,94800
Logistics & Supply Chain Management,56200,94400
Russian & Eastern European Studies,50800,94400
Occupational Health and Safety,57100,94300
Aviation,50000,94000
Manufacturing Technology,57100,94000
Physical Therapy,53500,93900
Labor Relations,48900,93900
Government & International Politics (GVIP),49800,93800
Information Technology (IT),56100,93800
City & Regional Planning,49700,93700
Information Science (IS),62600,93700
Business & Marketing,47800,93600
Agribusiness,48000,93400
Management Studies,43500,93400
Industrial Design (ID),52100,93100
Chemistry,49200,93000
Information Technology (IT) & Systems,58600,93000
Environmental Health & Safety,54500,93000
Electronics Engineering Technology (EET),61600,92900
Organizational Behavior,54000,92900
Analytical Chemistry,54800,92800
Computer Engineering Technology (CET),60100,92800
Food Science & Technology,50200,92800
Project Management,54100,92700
Technical & Scientific Communication,48900,92400
Finance & Banking,52600,92300
Hotel Administration,61500,92100
Mechanical Design,57700,92100
Biomedical Sciences,41200,92000
International Trade & Business,52300,91900
Commerce Economics,51200,91800
Latin American Studies,44300,91700
Structural Design & Construction Engineering Technology,66500,91700
Civil Engineering Technology (CET),55600,91700
Government & Politics,50000,91500
Aviation Flight Science (AFL),49900,91400
Business & Finance,52800,91400
Marketing,49200,91400
Applied Statistics,62000,91300
Biopsychology,50200,91300
Industrial Technology (IT),57800,91300
Manufacturing Engineering Technology,61500,91300
Music Production & Engineering,42100,91100
Networks & Telecommunications,52900,91100
Chemistry & Environmental Science,46000,91000
Microbiology & Immunology,51500,91000
Accounts,57000,90900
Risk Management,59600,90900
Environmental Science & Policy,47300,90700
Dairy Science,49500,90600
Sales & Marketing,48500,90600
Welding Engineering Technology,72000,90400
Industrial Psychology,47000,90200
Marketing & Management,47200,90200
Transportation & Logistics Management,52700,90200
Marketing Management,48300,90100
Watershed Hydrology & Management,45500,90100
Electromechanical Engineering,67100,90000
Transportation,59100,90000
Advertising Design,49300,89700
Management & Finance,52500,89700
Risk Management & Insurance,56300,89700
Geology,48200,89600
Information Assurance,55600,89500
Political Science,47900,89500
Philosophy,48700,89400
Radiation Therapy,65600,89400
Cell Biology,48200,89300
French Literature,44200,89300
Web Design & Development,50600,89300
Meteorology,44500,89300
Biological Sciences,46200,89200
Occupational Therapy (OT),55100,89200
Environmental Policy Analysis & Planning,47200,89100
Entrepreneurial Studies,46700,88900
Financial Accounting,53400,88900
Political Science/Public Law,43900,88900
Quality Management,53400,88900
Aeronautics,59100,88800
Applied Computer Science,62900,88800
Accounting,51700,88700
